L,absPolarity,sentiment_polarity,sentiment_subjectivity,ive,love,drunk,text,fuck,realli,high,need,say,good,want,go,home,girl,your,shit,even,make,lol,call,take,got,friend,drink,see,get,peopl,night,let,know,never,amp,one,look,last,like,work,drive,thing,u,today,time,wanna,think,talk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
True,0.5,-0.5,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.09602051106076509,-0.7492773847056865,0.06548357496648197,0.0688184859457206,0.2556152888956876,0.010505705197460777,0.1358730325055979,-0.15351993937975433,-0.5886934380713259,-0.32416590867047634,-0.14270230785912869,0.3406060827275662,0.37348631396770693,0.17749352915140598,-0.13021265660930842,0.12052858569634689
True,0.075,-0.07,0.57,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0021538907151707203,-0.0021223882952318422,-0.03225445080801553,-0.04257851041542532,0.036215800986701165,-0.024997352415500974,0.0021656801043755873,-0.14377464033187837,0.061878671026577896,-0.07774952408330997,-0.25300494406761237,0.15652850011097075,-0.2363417618810676,-0.17041993563228516,0.22328684078495725,0.12352452030392944
True,0.17,-0.17,0.77,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.025937918589686068,-0.14482570542164638,0.02075057747254201,-0.3319473106417087,0.20152072919645658,0.2065108767997909,-0.0110707038509551,0.27090248831934216,0.19625802028376518,-0.6000318264363801,0.2758426680336647,0.2309467240540664,-0.06755815572369646,-0.11633580528599247,0.0880647355636325,-0.3469874084434932
True,0.5,-0.5,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.01144909585773239,-0.02524980314474516,-0.038667779497842614,-0.02038909721113577,0.09947496820537054,-0.013516473459363854,-0.17305167948205025,-0.0653947332061261,0.1750671203883924,-0.11889495284179744,0.5157071385014841,-0.08080493741457474,0.2323906363789069,0.11795330886650413,0.042531597362902435,0.12185673704952535
True,0.181818182,-0.18,0.75,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.015842218431080683,-0.02799554016326428,0.07430651428818595,-0.17839583473104337,-0.2522795890609657,0.02375747273768814,-0.05320471802497695,-0.3658100188771378,-0.021923558805183173,-0.13712657577735451,0.08265636849850744,0.0007868219892024908,-0.1040590123073393,-0.10583874346118835,0.2775010163242184,-0.04716748350097555
True,0.45,-0.45,0.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,-0.027806843965267877,-0.019330446077146332,-0.11105243625988272,-0.14439258467441568,-0.0339000715929309,0.07470465595655874,-0.3010085195050649,-0.191939080778047,-0.15490881945218693,-0.19992742288875837,0.36519555318883024,-0.2563799570024125,0.32907911514395227,0.21920915496097967,0.10652870975189402,-0.41121705350726184
True,0.2,-0.2,0.39,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.018348712734580726,-0.06074580069620672,0.13679042960519688,-0.07422473589094877,-0.28122909720335443,0.23672564860429512,0.008707740813779709,0.01617112667616666,0.12225513798662456,-0.4232250153582146,0.29900639411309304,-0.1936699077076137,0.04493786102551711,0.0809803112285167,-0.058522548438320346,-0.2626688446494207
True,0.133333333,-0.13,0.47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,0.25,-0.25,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.00544441823627248,-0.05476407368519976,-0.005131193486006182,-0.20671781994658545,0.070421318937303,-0.03388433329606841,0.2824021026034792,0.22065490823304257,-0.42415508436852,0.041904089612055356,0.07498019466235142,-0.22504058159170948,0.2524678878955753,-0.4560206490955929,0.020462823519146887,-0.04030483972802672
True,0.007575758,-0.01,0.85,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.015390127033008374,0.03505053615247218,0.01512098491449107,-0.12219499514675525,0.10606399743648962,0.0006724673364669911,0.3829720612956968,-0.18321391531263478,-0.5549461142563734,0.038860506085880986,0.019897062561726513,0.15096645505076225,0.02204662802569926,-0.05046674969729182,0.05553203175715479,0.03569205058101484
